1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1582124461# #这些老鼠都受过特别训练，目的就是为了拍视频。原先不知道，养老鼠可以创收，同时可以出名。现在有许多小眼睛小鼻子的人失去了底线，为了拍视频上专栏，什么样的丑都敢丢，包括那些抓鱼抓蟹的视频人。
1571901780# #《虹桥古玩城惊现重器》我和2395人都在看，快来一起围观
1582643011# #站在阳台上享受南风微醺，只有这季节才真实。古人把东风形容成东君，好像只有东君才能召唤春的莅临。我倒觉得，南风比较能倾听，比较贴近小资情调的格式化。她永远不会声张，总是徐徐飘来，耳语般的亲近，然后飘逸而去。我有一好友名字南风，不知道是父母起的还是自己杜撰的，反正蛮贴切，而且很精准。
1593251572# #转发微博
1580319238# #《“我的城市生病了”，一首《武汉伢》听哭无数人……》此视频已有819万次播放，快来一起看看！
1550978816# #转发微博
1566758008# #没有。很少出远门，怕飞机和船，现在也是。我喜欢一个人窝在屋里，品茗翻书玩收藏。下午和夜里做运动，要不就看球看新闻。简单的生活简单的人，不与世人争风流挤眼！
1551497616# #《童瑶》童瑶
1561985320# #新半年顺意🙏🙏🙏
1550089149# #分崩离析！
1553091457# #我喜欢能干的女人，不喜欢女强人。
1555499430# #好伤感哦！
1566023815# #往事只能回味！
1581990071# #好久不见，平安就好！🙏🙏🙏
1555567880# #我分享了【娱乐圈再现渣男?车内大尺度视频流出,网友:朱亚文挺住】,快来看吧！|
1572016896# #懂球帝“我是警察！”地铁上一猥琐男猥亵女生，哪...-亚仁呀还有5834位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1558299590# #《拳击：李景亮早期的一场比赛，因为打法残暴，被称为吸血魔！》我和3.7万人都在看，快来一起围观
1582144506# #《只因多行方便事，有难小鬼也相帮》此视频已有11万次播放，快来一起看看！
1582984248# #土耳其，东突分子的集散地，美国反华仇华的跟屁虫，更是反中仇中的急先锋。奥斯曼人是世界上最丑陋的民族，就是现在的土耳其。跟新浪看热点
1582776002# #《全国27日通报新增新冠肺炎确诊433例，其中湖北409例》此视频已有25万次播放，快来一起看看！
1551890547# #【自食恶果中国停止进口加拿大油菜籽?加拿大作出回应】（来自
1551580211# #熊猫守护者刷微博，采阳光，做任务，可为萌萌的“滚滚”种真实竹子，在陕西秦岭建立食源地，快来成为熊猫守护者的一员吧！『熊猫守护者』
1570725166# #《萨满百度百科》“萨满”一词也可音译为“珊蛮”“嚓玛”等。该词源自通古斯语saman与北美印第安语shamman，原词含有：智者、晓彻、探究、等意，后逐渐演变为萨满教巫师即跳神之人的专称，也被理解为这些氏族中萨满之神的代理人和化身。另外暴雪娱乐出品的网络游戏《魔兽世界》中也
1553312436# #上篮戈登：现在起，MVP非哈登莫属火箭111-105马刺，哈登34投19中爆砍61分7篮板1助攻3抢断。
1548775014# #亚洲袖珍小国卡塔尔，一万一千多平方公里面积，相当于中国的900分之一大小，人口160多万人，与14亿人口大国的中国、印度比起来简直难为情到了极点。就是这样的小国，居然把亚洲龙象排挤在八强之外（对不起中国第八），自己已经稳稳当当进入了亚洲杯决赛。只说一点，他们主要靠归化球员。再强调一点，归
1594189484# #这种游戏做不得，不可笑，而且给社会留下了一个危险的示范。
1547232683# #跟新浪看热点5死7伤只赔一千多万？嗨！违法犯罪的成本太低了，
1561084860# #怎么办呢？情到深处无语时，老来相衡点滴中！
1561070645# #早上好！
1587487864# #《平静山村惊现恐怖怪物，毒蛇花豹都败在它的手下》此视频已有127万次播放，快来一起看看！
1567719888# #转发微博
1568685461# #寒冷的柔情。因为有了寒冷，有了对寒冷尽头的温暖的永恒的渴望，有了对盐那如同情人般的缠绵和依恋，我想北方人的泪水会比南方人的泪水更咸。
1554153629# #转发微博
1574238981# #《记者暗访酒托女，没想到套路这么深，看完忍不住：太坑人了！》我和13万人都在看，快来一起围观
1581110829# #台湾是个无可救药的地区，自欺欺人的假民主氛围扰乱了整个社会体系。为了中华民族的根本利益及完整性，必须武统台湾然后再正本清源。取缔民进党，清肃国民党，实施一国一制，推行民主集中制，倡导孔孟之道，构建真正意义上的国家地球村，迈向世界大同！
1549131583# #转发微博
1553772708# #好！赞
1558391859# #不尽兴，太短了。
1551200780# #转发微博
1557700760# #虫子？！
1557267233# #懂球帝连续两年进欧冠决赛，利物浦是08年和09年曼联后的英超首队今天凌晨，安菲尔德奇迹上演，利物浦4-0逆转巴萨晋级欧冠决赛，这也让他们实现了近10年来英超球队无法实现的成就。2007...
1554249280# #《麦田里的守望者》是美国作家杰罗姆·大卫·塞林格创作的唯一一部长篇小说，首次出版于1951年。塞林格将故事的起止局限于16岁的中学生霍尔顿·考尔菲德从离开学校到...
1559875772# #迪拜，500亿美元的大单。不过美国自称5G的网速整整比中国的5G网速慢了100多倍。阿联酋，美国的盟友，却把这一大单给了华为。
1562293516# #不怕鸡鸡扔炸弹(拉屎)吗？
1561416464# #《13年中国巨人“泰山”在日本KO美国“巨兽”，对手被打的痛苦叫疼》我和2.3万人都在看，快来一起围观
1552915924# #《刚刚！遭赖清德宣布参选2020“逼宫”蔡英文慌乱反击狼狈不堪》好看视频-分享美好，看见世界
1566165103# #懂球帝笑喷了，这是什么沙雕操作啊-西土城站地铁口大爷还有4472位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1575970191# #《女孩午夜总感觉被黑影跟踪，还有诡异的怪声，醒来竟听到梦中的话》我和2.9万人都在看，快来一起围观
1606873351# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省平武县金丰村帮助守护一平米的野生滚滚栖息地，你也快来加入吧！
1554192435# #懂球帝电讯报：德赫亚要求将自己现有的每周24万英镑薪水提升一倍据《电讯报》报道，曼联球员德赫亚目前开始了自己的合同谈判，他要求将自己现有的每周24万英镑的薪水提升一倍，因为他想与桑切...
1590466433# #凤凰新闻【台积电张忠谋：在芯片这件事上，国产制造我很悲观】与华为及自主制“芯”的相关话题引起社会广泛关注。由于美国对“断供”制裁升级，导致华为无法继续使用美国EDA软件来设计芯片，给华为带来沉痛打击。这意味着，只要使用...
1566004295# #转发微博
1560206349# #视而不见，听而不闻，许多男人都有这种婚后厌倦症。婚姻真像围城，城里的人想出去，城外的人要进来。于是城里城外围出了一幕幕现代情景剧，当初进城是真的，现在要挤出城去也是真的。
1579911407# #无论在哪儿，最美的日子就是自在地抽着烟喝着茶。逢年过节不重要，图安居乐业胜似天天逢年过节。。。恭喜发财是别人的客套，平平安安才是人生的正道。发财靠命就像赌博靠局，不如初一十五让人留个记性。主席诗云“人间正道是沧桑”，其实走正道并不容易，不小心就走歪了。沧海桑田人世百态，我们投得人生
1559876577# #大概是黄牛贩子，正好应合了大黄蜂的色彩。
1566360239# #去马尔代夫听风看海。来马尔代夫，感受纯净的海岛风光。这里的自然环境非常原始，沙滩洁白，大海蔚蓝。这番椰风海韵的美景，吸引了众多游人。
1563680418# #哲学家，树立矛盾、指出矛盾，但不解决矛盾。让我们清楚社会矛盾所在，就像柏拉图的影子学说与现实生活的比照。喔明白了，上帝创造平等，但不追求平等。。哲学，包罗万象，是学说种类最繁杂的染缸。认识世界、解释现象，坐在小溪边都能想出五门三道来。古希腊哲学家们创造的民主(社会)价值延用迄今，无
1552467014# #《男子捧上郑板桥的画专家吓的都哆嗦，鉴定后让人大吃一惊》好看视频-分享美好，看见世界
1550090442# #《方清平脱口秀，现场大谈一丑毁所有，包袱不断！》好看视频-分享美好，看见世界
1554520183# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1572250533# #凤凰新闻分享凤凰新闻：香港暴徒“逢周末必闹”成套路这两地成重灾区-今日视讯来自
1576939205# #分享图片
1559367866# #《此情可待成追忆是当时已惘然-百度》此情可待成追忆是当时已惘然-百度
1608858709# #2020微博之夜火热进行中，年度微盘点细数整年难忘瞬间。戳转发视频还能赢取盛典门票、现金红包及实物大奖哦~
1626787357# #和尚何苦为难“和尚”？出家人不打诳语。居士带发居家修行，阿弥陀佛！🙏🙏🙏
1554278527# #《卡扎菲倒台后，那位与他形影不离的美女保镖，最终的结局如何》他的政变上台，他的口无遮拦，他的独裁统治，他的反美立场，他的悲惨结局，都为人们所津津乐道。
1564707740# #就是说很淡定从容、很有城府、宠辱不惊的样子，这种人不一定好相处，总在考虑周全、万无一失。我倒觉得凡事不求甚解，得过且过，做一天和尚撞两个半天的钟，那多好啊，该吃吃，该睡睡，该喝喝！放飞心情，平安快乐！
1549054049# #《方清平玩游戏认错了人，无奈的对嘉宾说：我真想给你“烧香”！》好看视频-分享美好，看见世界
1569258515# #《小伙探险神秘凶宅，发生了什么事，他竟然不受控制的跳起舞来》我和406人都在看，快来一起围观
1576308726# #心脏病的良药，为男人雄起而生！跟新浪看热点
1551904179# #处罚秦升就是处罚大连一方，足协看到老王的球队，敢处罚秦升才怪。
1553536234# #分享图片
1556372180# #转发微博
1559589171# #无论如何，国安青训队获第九名一点问题也没有。
1570375416# #鲁尼真是的，拾人牙慧，我说的话被你小子抢先说了。
1549062665# #特朗普：刘鹤是亚洲地区最受尊敬的政治家之一(分享自
1550624984# #《世界上最小的刑具,却让人十分痛苦,能忍受的都不是一般人》百度搜索精选视频，打开看看吧！
