1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1702040355# #举报五月天博主发视频与阿信PK唱功哈哈哈，这个好玩，昨天五月天在巴黎现场应该是没有假唱，但全程很吃力。笑cry
1704098915# #2024年第一天，这个消息不太好——美英可能要对也门的胡塞武装宣战了。。。不负责任转发
1691304849# #这个视频看过很多次了，仍然觉得好可爱！。。不负责任转发
1690352072# #铜绿球盖菇（学名：Strophariaaeruginosa），俗称铜绿伞菌（verdigrisagaric）。是一种体形中等，粘糊糊的绿色疏林真菌，能于春天到秋天期间在草坪、盖土和林地上找到。这种真菌的可食性现在仍存在争议，部份学者指出这种真菌是可供食用的，而部份学者则认为它们是有毒的，尽管其有毒成分和中毒症状仍
1699893870# #今天一直在看这个人的AI绘画。Robotdreamofbeauty.。。魔女屋lyl
1692857400# #鼯鼠是这样出去玩儿的，太好玩了！。。不负责任转发
1688302174# #刚吃饭时，我爸说这次法国的事情有CIA介入，我还想说，法国人日常不就那样，直到我现在打开推，看到这些，马上，2019年香港那熟悉的味道扑面而来。。不负责任转发
1690007661# #治愈系小咪蛋超话昨晚没弄完的咪咪画的嫦娥兔，AI生成小玩具，今早起来第一件事就给她处理完了！来看看喜欢哪一个小兔子玩具！。。萌娃萌画AI绘画
1696233207# #没想到伟大美国的陷落是从零元购开始的。。。。。。。。不负责任转发
1700832546# #起床后的第一个正经工作完成，接下来要写公众号了哈哈哈哈哈哈。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1695278320# #被阿尔茨海默病人的视角整破防了这么可怕的吗？这种疾病没法预防吗？怪不得我妈那么害怕得，每天在练钢琴，不让大脑退化。悲伤
1702838905# #特拉维夫、耶路撒冷、海法等城市爆发针对以色列政府的大规模抗议活动。抗议者要求将人质遣返，一些人要求整个以色列内阁垮台。。此前，以色列军方承认尽管悬挂白旗，仍杀害了三名以色列人质。。。巴以冲突不负责任转发
1698406179# #魔女屋LYL超话墙壁、台阶或路缘石上的任何裂缝都是这位法国里昂的艺术家Ememem的目标！毕竟，他的外号叫“人行道外科医生”，他寻找人行道上的空隙，并用彩色瓷砖填充。与金继（kintsugi）技术类似，其实也是一种马赛克技术，他也能算一种“街头艺术家”，但他的作品显然能比涂鸦维持更久。。。
1695051406# #这个昆虫饮食一直是很高级的样子。。。哈哈哈哈哈哈
1692769333# #发布了头条文章：《今天来说说焦特布尔裤和马裤——论印度人怎样影响英国时尚》。。魔女屋lyl服饰
1693734198# #昨天偶尔看到一个新闻，说旧金山到底有多乱，刚随便翻一下油管新闻，简直触目惊心。。想想这可是美国一线大城市，满街流浪，吸毒，抢劫商店又根除不了。。。不负责任转发
1694581177# #互联网教父称没有人因为AI失去工作希望如此，但事实上很多工种，工作机会已经偷偷被AI替代了。。。二哈
1697356923# #哈哈哈，怀疑拜登根本没时间看推哈哈哈哈
1692695813# #
1695451719# #该起床了
1694149046# #预制菜未来市场规模将超万亿刚在和朋友们讨论啥是预制菜，说起了小学到大学吃的都是食堂里现炒的，如果说酱菜，午餐肉等等都是预制菜，应该占每天饮食比重很少的一部分才对。
1700727912# #卧槽，还用哈马斯的名义骗钱？？？
1693059543# #白左都是傻白甜
1698323301# #三只羊网络CEO曾称挣7个点净利润就够我，我看成了羊了个羊网络，哈哈哈哈哈，这个网络流量世界太疯狂了衰衰衰
1697104872# #以军方称行动重点是除掉哈马斯高级领导人200个点无差别轰炸叫定点清除？以军方不是非常先进发达的嘛？这不是自己打脸？36万大军对阵2万多哈马斯，是不是碾压式的呢？
1702518219# #过了三个月靠2g速度流量上网的日子，现在网速快了不习惯了一刚汗汗汗水深火热的巴黎
1693979926# #我去推上看了一下这个不要脸的猫神，么有退出推特，还在继续瞎bb中国。。这种人作为反共代表也是很典型了！。。不负责任转发
1699462659# #所以，联合国连自己的工作人员都保不住，以后还怎么保护全世界？
1695383208# #一边写文章一边把这专辑发喜马了。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1698599346# #晚上了，休息下，看下X，今晚要干录音的活儿。。。巴以冲突不负责任转发
1695829881# #发布了头条文章：《这位艺术家的拼贴艺术太赞了——哥伦比亚女艺术家MaríaBerrío》。。魔女屋LYL艺术分享
1697992341# #所以地面战开始了吗？。哈马斯说以色列在加沙南部渗透，不是北部吗？难道叫人都去南部，结果又在南部进攻？。。巴以冲突不负责任转发
1694585876# #发帖有华为就能触发黑粉机器人，但是说到iPhone居然会被强行植入广告，足以说明资本的运作，现在的人都该看清楚了。
1691046360# #推上的八卦组，一天天的都在干嘛啊！。最近看到不少人八小土豆的瓜！允悲。。不负责任转发
1700322629# #克莱沃的安娜祈祷书。原产地：法兰德斯，专为克莱沃的安娜打造，1557年。。克莱沃的安娜是谁呢？是英国国王亨利八世的妻子。因为长得不够美艳所以没有圆房，也是杀妻狂魔亨利八世几个妻子里活得最久的一个，所谓因祸得福。。原材料：羊皮纸。镜子和丝绸制成的底纸，粘在第一张和最后一张羊皮纸上。纸张和
1695278466# #花西子年薪112万招品牌运营总监花这么多钱招聘顶级销售员？只能说，这世界不是一分价钱一分货的，因为太多货的价值是人吹出来的。哈哈哈哈哈哈
1693048962# #很喜欢喜马拉雅润物风雨的节目好书推荐｜我喜欢的文章｜名家名作赏析，听点有用的，每天进步一点点！
1691661166# #我正在研究老外乱纹的一些汉字！。。魔女屋lyl
1688902537# #塚越応駿，是1921年创立的花道正风的副社长。教室：群马县高崎市东京都新宿区。今天在Instagram上找了几个厉害的插花师和大家分享。。魔女屋lyl插花艺术
1694373623# #大功告成，终于可以安心睡觉了。哈哈哈哈哈哈
1700163176# #刚看了下今天以色列拙劣的谎言，在被全世界智商在线的人嘲笑——指责哈马斯把武器藏在核磁共振房间里，笔记本电脑里在播放一个自由的“人质”照片，声称哈马斯在复制光盘搞宣传，结果笔记本没光驱，，，，服了！。还有一个以色列士兵在假装搬运“救援物资”的视频，一看就是空箱子，真的槽点太多了。。哈
1703141789# #推特崩了这个热搜是在看有多少人上推特吗？哈哈哈哈哈哈！
1703155169# #今天看到有几个公众号又像之前谎报俄乌军情一样，夸张哈马斯兵败如山倒，看看推特，发现还在日常播报。。。。笑cry。。巴以冲突不负责任转发
1697485717# #突发新闻：哥伦比亚驱逐了以色列驻波哥大大使。。看来，哥伦比亚总统忍受不了以色列的暴行，不开嘴炮了，直接行动。。。中国政府向巴勒斯坦提供紧急人道主义援助
1697799663# #魔女屋LYL超话想象一下一台可以击败任何人类国际象棋棋手的机器，这听起来很普通。但如果这发生在计算机出现之前很久的十八世纪呢？。。机械土耳其人（MechanicalTurk），也被称为“土耳其人”（Turk），是一种造于1770年的欺诈性国际象棋机器，它似乎能够与人类对手下棋。84年来，它一直作为
1694259025# #教师节该不该给老师准备礼物这都随意啊，不鼓励攀比，但也很支持孩子和家长们自发表达感激之情。我在法国就给女儿老师送一对我自己做的耳环，她就很喜欢。其他法国孩子一般都是送巧克力。
1690870685# #发布了头条文章：《“萌娃萌画”——才女妈妈们和孩子们的画》。。能够遇到这么多优秀的才女妈妈和孩子们，是我荣幸！。。。魔女屋lyl儿童画
1701027207# #这个交换人质的视频简直是大型打脸现场
1688790629# #洗脑真的可怕，把历史篡改了，下一代人根本不知道之前发生了什么，希望越来越多日本，台湾年轻人能明白过来。。。不负责任转发
1689748676# #最近录了点美美哒情感语录，配上美美哒AI仙侠滤镜，是不是美美哒？
1695453465# #这是搞了个司机滤镜吗？哈哈哈哈哈哈
1699613762# #看点新闻，我该起床了！。。不负责任转发
1698184319# #继续支持巴勒斯坦，要记住你们的政府都支持以色列🇮🇱汗汗汗
1693806599# #我成功开通了魔女屋LYL个人专属超话，小伙伴们快来关注吧！签到、发帖、互动还能成为我的铁粉哦～戳这里快速加入魔女屋LYL超话
1697040926# #联合国9名人员在以色列空袭中丧生。。看些漫画，啥也不说了。。不负责任转发
1701973280# #今天出去浪了一天才回来，开始刷x！看一些不负责任转发巴以冲突
1691413242# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自。。林笛音乐
1698596145# #发布了头条文章：《一顶毛毡帽就能达到万圣节妆容效果》。。魔女屋lyl
1695290394# #这位外国网友发现，某菜，某司机从来不用母语发推时，觉得很奇怪！。。不负责任转发
1694525050# #怪不得最近群里的美粉们都很安静哈哈哈哈
1698933729# #治愈系小咪蛋超话早课做完，今天终于出太阳了，最近每天都在做咪蛋画的猫头胸针，目前有这么多了！。对了，蛋总夏天在乡下玩泥巴，做的小陶盘子和小动物都很好玩。。。萌娃养成记
1692963881# #回国度假其中两个月在学声音演播，这是毕业作品，好听的都是男同学们助力可怜可怜可怜。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1698958713# #今天听说拜登已经在考虑内塔尼亚胡的继任者了，所以如果停战，就是内塔尼亚胡下台的时候了。。。巴以冲突不负责任转发
1693634847# #机翻推上一个法国人对于法国最近接连丢失非洲殖民地的看法：。我的看法是，法国实际上在非洲有很多值得指责的事情，但我也认为纯粹基于怨恨的政治并不对非洲人有利。。非洲国家应该像所有国家一样，冷静审视自身利益，并以此作为政策的指导。有时这会告诉他们应该停止与法国的这种或那种业务，但有时这
1702040512# #缺当选台湾2023年度代表字啊，这还是台湾人自己选的？我只想到缺德，缺鸡蛋啥的，还缺了点啥？哈哈哈哈哈哈
